id,airtable_id,tema_actual,tema_real,seccion_manual,nota
1,rec0H2WFx6nDYJizf,6,6,E.4.2,
2,rec0MnaYwmhui0Grn,6,8,E.4.2 (recuadro presuncion culpa),tema es si la culpa grave se presume igual que la leve; el foco es la carga de la prueba
3,rec10qqPNcWKENjjm,6,7,E.4.1(d),"dolo se aprecia in concreto, regla propia del dolo"
4,rec11ROMnLsC1gzsK,6,8,E.4.2 / art. 1547 inc.3,"exoneracion por prueba de diligencia, carga de la prueba"
5,rec12Pit6ZYHrqjqq,6,6,E.4.2 / art. 44,
6,rec1lMHpENcDz54Tx,6,6,E.4.2 / E.4 intro,concepto de imputabilidad por culpa
7,rec2IUXOZOqNvgOWl,6,6,E.4.2 / art. 1547 inc.1,
8,rec2WMafMP1Owbsmv,6,6,E.4.2 / art. 1547 inc.1,
9,rec2bodlYIQCyImUF,6,8,art. 1547 inc.3,"por que la culpa se presume, carga de la prueba"
10,rec3McCoWrc3lecnQ,6,6,E.4.2,
11,rec3rnVdVVCJ27dd8,6,6,E.4.2 / art. 44,
12,rec45OOhNsou4MNtB,6,6,E.4.2 / art. 1547 inc.1,
13,rec4GCU5V8z3iWJPQ,6,8,F.1.5 (prueba caso fortuito) / art. 1671,"caso limite: presuncion de culpa al perecer la cosa en poder del deudor (1671) mas culpa levisima comodato; se prioriza la carga de la prueba, ver caso especial"
14,rec4P2HsHzAVyQOyO,6,20,H.2.5 / art. 1465,limite a clausulas que atenuan responsabilidad
15,rec4Wc9fEddcDRsOm,6,6,E.4.2 / art. 44,
16,rec4dMaf1Voor50lE,6,6,E.4.2,
17,rec4xydlQNt2M1VJG,6,8,jurisprudencia sobre prueba de culpa grave,carga de la prueba de la culpa grave
18,rec4yZDYAGmtvCsYL,1,1,A.3 (excepciones al efecto relativo),"companero de las ids 21, 47 y 199, mismo cluster de las tres excepciones al efecto relativo"
19,rec5BIPIkz2w6QwTE,6,4,B.3,"prueba de la diligencia en obligaciones de medio, conecta con extracontractual"
20,rec5xhMrmrWlH99zs,1,1,A (marco general),efecto relativo/absoluto del contrato
21,rec5yBDqVNfLWknts,1,1,A.3 (excepciones al efecto relativo),"companero de las ids 18, 47 y 199, mismo cluster de las tres excepciones al efecto relativo"
22,rec6JBCPEnQZa9zjg,6,6,E.4.2,
23,rec6Z4QPgVH0FSg06,6,6,E.4.2 / art. 1547,
24,rec6mrbIY4xD6EPL3,6,8,E.4.2 (recuadro presuncion culpa),"si la culpa grave se presume, carga de la prueba"
25,rec6q6s5CfW3lnHkv,6,6,E.4.2,
26,rec77RcUpRYSTI7BW,6,6,E.4.2,
27,rec7BjWUQJzzSL7H5,6,6,E.4.2 / art. 1329,
28,rec7RT73pSecPfu4z,6,4,B.3,
29,rec7Xjrf7xYDsCw0y,6,8,E.4.2 (recuadro presuncion culpa),debate sobre si se presume la culpa grave
30,rec7epqZJmKYGvWis,1,1,A.3,efecto del contrato vs efecto de la obligacion
31,rec8enJc4OQhVrZzC,6,20,H.2.5 / art. 1465,limite a las clausulas exonerativas
32,rec8kjoK6kp4tZiFN,6,6,E.4.2 / art. 1547 inc.1,
33,rec90fYCbIiBoB9lB,6,6,E.4.2,
34,rec9BdCDMydlbmLRs,6,6,E.4.2 / art. 1547,
35,recA8hfppLyk2JWSg,6,6,E.4.2 / art. 1547 inc.1,
36,recAWoQbbMQqIiF9T,6,4,B.3,
37,recAtAKTEdmOiaWFI,6,6,E.4.2 / art. 44,
38,recBYx3BYCQAi0EwR,6,6,E.4.2 (jerarquia de reglas),
39,recBbfSVcxLb7mVJx,6,4,B.3 / art. 1547 inc.3,consecuencia probatoria de la distincion medio/resultado
40,recC1vcx3zq30dL36,6,20,H.2.5 / art. 1465,"renuncia anticipada de culpa grave, limite a clausulas modificatorias"
41,recC9MCNk5ZuQHnA6,6,6,E.4.2,
42,recCViEqPjUdpogF0,6,20,H.1 / art. 1547 inc. final,"caracter supletorio del regimen legal, base de la modificacion convencional"
43,recCXFlt6tLjmGLmI,6,6,"E.4.2 (graduacion, contraste con extracontractual)",
44,recD6d9CkxHFRnBz1,6,6,E.4.2 / art. 2178,
45,recDD897sF6Xe9xFJ,6,6,E.4.2 / art. 44,
46,recDhhoZBLUzPwcsf,6,6,E.4.2 / art. 1547,
47,recDo0l7Tb3AdqzeC,1,1,A.3,excepciones al efecto relativo del contrato
48,recDrKgRszy92s61N,6,20,H.1 / art. 2222,clausula que agrava la responsabilidad del depositario
49,recE5FgtSpPQnSuuH,6,6,E.4.2 / art. 44,
50,recEAU8k5Gzf429aV,6,6,E.4.2 / art. 1547,
51,recEPIng75AkFbTvU,6,6,E.4.2,
52,recF0o9Lse7E7p4Xc,6,8,E.4.2 / B.4,facilidad probatoria por la presuncion de culpa
53,recF5TnjeLwiViPoE,6,4,B.3 / art. 1547 inc.3 / art. 1698,consecuencia probatoria medio/resultado
54,recF9rZ0PLYhIKxPo,6,4,B.3 / art. 1547 inc.3 / art. 1698,consecuencia probatoria medio/resultado
55,recFHWtkl7VRE6o94,1,1,A.3 / A.4,sistema de remedios frente al incumplimiento
